vertebrate_sp_paper	vertebrate_sp_current	vertebrate_genus_current	vertebrate_family_current	body_size	diet	vertebrate
Brotogeris_versicolurus	Brotogeris_versicolurus	Brotogeris	Psittacidae	6.388427976	Omnivore	Bird
Diopsittaca_nobilis	Diopsittaca_nobilis	Diopsittaca	Psittacidae	8.834972728	Omnivore	Bird
Aratinga_aurea	Eupsittula_aurea	Eupsittula	Psittacidae	NA	NA	Bird
Eupsittula_aurea	Eupsittula_aurea	Eupsittula	Psittacidae	NA	NA	Bird
Aratinga_canicularis	Eupsittula_canicularis	Eupsittula	Psittacidae	NA	NA	Bird
Eupsittula_canicularis	Eupsittula_canicularis	Eupsittula	Psittacidae	NA	NA	Bird
Eupsittula_pertinax	Eupsittula_pertinax	Eupsittula	Psittacidae	NA	NA	Bird
Forpus_conspicillatus	Forpus_conspicillatus	Forpus	Psittacidae	4.143761404	Omnivore	Bird
Forpus_xanthopterygius	Forpus_xanthopterygius	Forpus	Psittacidae	4.443141601	Omnivore	Bird
Furnarius_rufus	Forpus_xanthopterygius	Forpus	Psittacidae	4.443141601	Omnivore	Bird
Geospiza_fortis	Forpus_xanthopterygius	Forpus	Psittacidae	4.443141601	Omnivore	Bird
Geothlypis_aequinoctalis	Forpus_xanthopterygius	Forpus	Psittacidae	4.443141601	Omnivore	Bird
Geotrygon_versicolor	Forpus_xanthopterygius	Forpus	Psittacidae	4.443141601	Omnivore	Bird
Gnomiropsar_chopi	Forpus_xanthopterygius	Forpus	Psittacidae	4.443141601	Omnivore	Bird
Gnomoripsar_chopi	Forpus_xanthopterygius	Forpus	Psittacidae	4.443141601	Omnivore	Bird
Guarouba_guarouba	Guaruba_guarouba	Guaruba	Psittacidae	9.853253744	Frugivore	Bird
Myiopsitta_monachus	Myiopsitta_monachus	Myiopsitta	Psittacidae	7.997917906	Omnivore	Bird
Ara_manilata	Orthopsittaca_manilatus	Orthopsittaca	Psittacidae	NA	NA	Bird
Orthopsittaca_manilata	Orthopsittaca_manilatus	Orthopsittaca	Psittacidae	NA	NA	Bird
Orthopsittaca_manilatus	Orthopsittaca_manilatus	Orthopsittaca	Psittacidae	NA	NA	Bird
Pionites_melanocephala	Pionites_melanocephalus	Pionites	Psittacidae	8.780598345	Granivore	Bird
Pionus_maximiliani	Pionus_maximiliani	Pionus	Psittacidae	11.78547239	Granivore	Bird
Pionus_menstruus	Pionus_menstruus	Pionus	Psittacidae	11.01958034	Omnivore	Bird
Pionus_mentruus	Pionus_menstruus	Pionus	Psittacidae	11.01958034	Omnivore	Bird
Thectocercus_acuticaudatus	Psittacara_acuticaudatus	Psittacara	Psittacidae	NA	NA	Bird
Aratinga_leucophtalma	Psittacara_leucophthalmus	Psittacara	Psittacidae	NA	NA	Bird
Psittacara_hockingi	Psittacara_mitratus	Psittacara	Psittacidae	NA	NA	Bird
Pyrrhura_frontalis	Pyrrhura_frontalis	Pyrrhura	Psittacidae	6.406624262	Omnivore	Bird
Pyrrhura_snethlageae	Pyrrhura_snethlageae	Pyrrhura	Psittacidae	NA	NA	Bird
Touit_purpuratus	Touit_purpuratus	Touit	Psittacidae	5.906032765	Frugivore	Bird
Psophia_crepitans	Psophia_crepitans	Psophia	Psophiidae	20.31069026	Frugivore	Bird
Phainoptila_melanoxantha	Phainoptila_melanoxantha	Phainoptila	Ptiliogonatidae	5.744184933	Frugivore	Bird
Aramides_cajanea	Aramides_cajaneus	Aramides	Rallidae	NA	NA	Bird
Aramides_cajaneus	Aramides_cajaneus	Aramides	Rallidae	NA	NA	Bird
Aramides_saracura	Aramides_saracura	Aramides	Rallidae	15.36963424	Insectivore	Bird
Aulacorhynchus_atrogularis	Aulacorhynchus_atrogularis	Aulacorhynchus	Ramphastidae	NA	NA	Bird
Aulacorhynchus_whitelianus	Aulacorhynchus_whitelianus	Aulacorhynchus	Ramphastidae	NA	NA	Bird
Pteroglossus_aracari	Pteroglossus_aracari	Pteroglossus	Ramphastidae	11.00354912	Frugivore	Bird
Pteroglosus_azara	Pteroglossus_azara	Pteroglossus	Ramphastidae	8.668688807	Frugivore	Bird
Baillonius_bailloni	Pteroglossus_bailloni	Pteroglossus	Ramphastidae	8.708964139	Frugivore	Bird
Pteroglossus_bailloni	Pteroglossus_bailloni	Pteroglossus	Ramphastidae	8.708964139	Frugivore	Bird
